.0.0, zeroDotZero
.1.3.6.1.4.1.16858.3.0.5, smartError
.1.3.6.1.4.1.16858.3.0.6, unexpectedShutdown
.1.3.6.1.4.1.16858.3.0.7, diskSpaceLow
.1.3.6.1.4.1.16858.3.0.8, procLivenessFailure
.1.3.6.1.4.1.16858.3.0.9, cmcStatusFailure
.1.3.6.1.4.1.232, compaq
.1.3.6.1.4.1.232.0, compaq#
.1.3.6.1.4.1.232.0.11001, cpqHoGenericTrap
.1.3.6.1.4.1.232.0.11002, cpqHoAppErrorTrap
.1.3.6.1.4.1.232.0.11003, cpqHo2GenericTrap
.1.3.6.1.4.1.232.0.11004, cpqHo2AppErrorTrap
.1.3.6.1.4.1.232.0.11005, cpqHo2NicStatusOk
.1.3.6.1.4.1.232.0.11006, cpqHo2NicStatusFailed
.1.3.6.1.4.1.232.0.11007, cpqHo2NicSwitchoverOccurred
.1.3.6.1.4.1.232.0.11008, cpqHo2NicStatusOk2
.1.3.6.1.4.1.232.0.11009, cpqHo2NicStatusFailed2
.1.3.6.1.4.1.232.0.11010, cpqHo2NicSwitchoverOccurred2
.1.3.6.1.4.1.232.0.11011, cpqHoProcessEventTrap
.1.3.6.1.4.1.232.0.11012, cpqHoProcessCountWarning
.1.3.6.1.4.1.232.0.11013, cpqHoProcessCountNormal
.1.3.6.1.4.1.232.0.11014, cpqHoCriticalSoftwareUpdateTrap
.1.3.6.1.4.1.232.0.11015, cpqHoCrashDumpNotEnabledTrap
.1.3.6.1.4.1.232.0.11016, cpqHoBootPagingFileTooSmallTrap
.1.3.6.1.4.1.232.0.11017, cpqHoSWRunningStatusChangeTrap
.1.3.6.1.4.1.232.0.11018, cpqHo2PowerThresholdTrap
.1.3.6.1.4.1.232.0.11019, cpqHoBootPagingFileOrFreeSpaceTooSmallTrap
.1.3.6.1.4.1.232.0.22001, cpqRackNameChanged
.1.3.6.1.4.1.232.0.22002, cpqRackEnclosureNameChanged
.1.3.6.1.4.1.232.0.22003, cpqRackEnclosureRemoved
.1.3.6.1.4.1.232.0.22004, cpqRackEnclosureInserted
.1.3.6.1.4.1.232.0.22005, cpqRackEnclosureTempFailed
.1.3.6.1.4.1.232.0.22006, cpqRackEnclosureTempDegraded
.1.3.6.1.4.1.232.0.22007, cpqRackEnclosureTempOk
.1.3.6.1.4.1.232.0.22008, cpqRackEnclosureFanFailed
.1.3.6.1.4.1.232.0.22009, cpqRackEnclosureFanDegraded
.1.3.6.1.4.1.232.0.22010, cpqRackEnclosureFanOk
.1.3.6.1.4.1.232.0.22011, cpqRackEnclosureFanRemoved
.1.3.6.1.4.1.232.0.22012, cpqRackEnclosureFanInserted
.1.3.6.1.4.1.232.0.22013, cpqRackPowerSupplyFailed
.1.3.6.1.4.1.232.0.22014, cpqRackPowerSupplyDegraded
.1.3.6.1.4.1.232.0.22015, cpqRackPowerSupplyOk
.1.3.6.1.4.1.232.0.22016, cpqRackPowerSupplyRemoved
.1.3.6.1.4.1.232.0.22017, cpqRackPowerSupplyInserted
.1.3.6.1.4.1.232.0.22018, cpqRackPowerSubsystemNotRedundant
.1.3.6.1.4.1.232.0.22019, cpqRackPowerSubsystemLineVoltageProblem
.1.3.6.1.4.1.232.0.22020, cpqRackPowerSubsystemOverloadCondition
.1.3.6.1.4.1.232.0.22021, cpqRackPowerShedAutoShutdown
.1.3.6.1.4.1.232.0.22022, cpqRackServerPowerOnFailedNotRedundant
.1.3.6.1.4.1.232.0.22023, cpqRackServerPowerOnFailedNotEnoughPower
.1.3.6.1.4.1.232.0.22024, cpqRackServerPowerOnFailedEnclosureNotFound
.1.3.6.1.4.1.232.0.22025, cpqRackServerPowerOnFailedPowerChassisNotFound
.1.3.6.1.4.1.232.0.22026, cpqRackServerPowerOnManualOverride
.1.3.6.1.4.1.232.0.22027, cpqRackFuseOpen
.1.3.6.1.4.1.232.0.22028, cpqRackServerBladeRemoved
.1.3.6.1.4.1.232.0.22029, cpqRackServerBladeInserted
.1.3.6.1.4.1.232.0.22030, cpqRackPowerChassisNotLoadBalanced
.1.3.6.1.4.1.232.0.22031, cpqRackPowerChassisDcPowerProblem
.1.3.6.1.4.1.232.0.22032, cpqRackPowerChassisAcFacilityPowerExceeded
.1.3.6.1.4.1.232.0.22033, cpqRackPowerUnknownPowerConsumption
.1.3.6.1.4.1.232.0.22034, cpqRackPowerChassisLoadBalancingWireMissing
.1.3.6.1.4.1.232.0.22035, cpqRackPowerChassisTooManyPowerChassis
.1.3.6.1.4.1.232.0.22036, cpqRackPowerChassisConfigError
.1.3.6.1.4.1.232.0.22037, cpqRackEnclosureManagerDegraded
.1.3.6.1.4.1.232.0.22038, cpqRackEnclosureManagerOk
.1.3.6.1.4.1.232.0.22039, cpqRackEnclosureManagerRemoved
.1.3.6.1.4.1.232.0.22040, cpqRackEnclosureManagerInserted
.1.3.6.1.4.1.232.0.22041, cpqRackManagerPrimaryRole
.1.3.6.1.4.1.232.0.22042, cpqRackServerBladeEKeyingFailed
.1.3.6.1.4.1.232.0.22043, cpqRackServerBladeEKeyingOK
.1.3.6.1.4.1.232.0.22044, cpqRackNetConnectorRemoved
.1.3.6.1.4.1.232.0.22045, cpqRackNetConnectorInserted
.1.3.6.1.4.1.232.0.22046, cpqRackNetConnectorFailed
.1.3.6.1.4.1.232.0.22047, cpqRackNetConnectorDegraded
.1.3.6.1.4.1.232.0.22048, cpqRackNetConnectorOk
.1.3.6.1.4.1.232.0.22049, cpqRackServerBladeToLowPower
.1.3.6.1.4.1.232.0.22050, cpqRackServerBladeRemoved2
.1.3.6.1.4.1.232.0.22051, cpqRackServerBladeInserted2
.1.3.6.1.4.1.232.0.22052, cpqRackServerBladeStatusRepaired
.1.3.6.1.4.1.232.0.22053, cpqRackServerBladeStatusDegraded
.1.3.6.1.4.1.232.0.22054, cpqRackServerBladeStatusCritical
.1.3.6.1.4.1.232.0.22055, cpqRackServerBladeGrpCapTimeout
.1.3.6.1.4.1.232.0.22056, cpqRackServerBladeUnexpectedShutdown
.1.3.6.1.4.1.232.0.22057, cpqRackServerBladeMangementControllerFirmwareUpdating
.1.3.6.1.4.1.232.0.22058, cpqRackServerBladeMangementControllerFirmwareUpdateComplete
.1.3.6.1.4.1.232.0.22059, cpqRackServerBladeSystemBIOSFirmwareUpdating
.1.3.6.1.4.1.232.0.22060, cpqRackServerBladeSystemBIOSFirmwareUpdateCompleted
.1.3.6.1.4.1.232.0.22061, cpqRackServerBladeFrontIOBlankingActive
.1.3.6.1.4.1.232.0.22062, cpqRackServerBladeRemoteFrontIOBlankingInactive
.1.3.6.1.4.1.232.0.22063, cpqRackServerBladeDiagnosticAdaptorInserted
.1.3.6.1.4.1.232.0.22064, cpqRackServerBladeDiagnosticAdaptorRemoved
.1.3.6.1.4.1.232.0.22065, cpqRackServerBladeEnteredPXEBootMode
.1.3.6.1.4.1.232.0.22066, cpqRackServerBladeExitedPXEBootMode
.1.3.6.1.4.1.232.0.22067, cpqRackServerBladeWarmReset
.1.3.6.1.4.1.232.0.22068, cpqRackServerBladePOSTCompleted
.1.3.6.1.4.1.232.0.22069, cpqRackServerBladePoweredOn
.1.3.6.1.4.1.232.0.22070, cpqRackServerBladePoweredOff
.1.3.6.1.4.1.232.11, cpqHostOs
.1.3.6.1.4.1.232.11.1, cpqHoMibRev
.1.3.6.1.4.1.232.11.1.1, cpqHoMibRevMajor
.1.3.6.1.4.1.232.11.1.2, cpqHoMibRevMinor
.1.3.6.1.4.1.232.11.1.3, cpqHoMibCondition
.1.3.6.1.4.1.232.11.2, cpqHoComponent
.1.3.6.1.4.1.232.11.2.1, cpqHoInterface
.1.3.6.1.4.1.232.11.2.1.4, cpqHoOsCommon
.1.3.6.1.4.1.232.11.2.1.4.1, cpqHoOsCommonPollFreq
.1.3.6.1.4.1.232.11.2.1.4.2, cpqHoOsCommonModuleTable
.1.3.6.1.4.1.232.11.2.1.4.2.1, cpqHoOsCommonModuleEntry
.1.3.6.1.4.1.232.11.2.1.4.2.1.1, cpqHoOsCommonModuleIndex
.1.3.6.1.4.1.232.11.2.1.4.2.1.2, cpqHoOsCommonModuleName
.1.3.6.1.4.1.232.11.2.1.4.2.1.3, cpqHoOsCommonModuleVersion
.1.3.6.1.4.1.232.11.2.1.4.2.1.4, cpqHoOsCommonModuleDate
.1.3.6.1.4.1.232.11.2.1.4.2.1.5, cpqHoOsCommonModulePurpose
.1.3.6.1.4.1.232.11.2.10, cpqHoSystemStatus
.1.3.6.1.4.1.232.11.2.10.1, cpqHoMibStatusArray
.1.3.6.1.4.1.232.11.2.10.2, cpqHoConfigChangedDate
.1.3.6.1.4.1.232.11.2.10.3, cpqHoGUID
.1.3.6.1.4.1.232.11.2.10.4, cpqHoCodeServer
.1.3.6.1.4.1.232.11.2.10.5, cpqHoWebMgmtPort
.1.3.6.1.4.1.232.11.2.10.6, cpqHoGUIDCanonical
.1.3.6.1.4.1.232.11.2.11, cpqHoTrapInfo
.1.3.6.1.4.1.232.11.2.11.1, cpqHoTrapFlags
.1.3.6.1.4.1.232.11.2.12, cpqHoClients
.1.3.6.1.4.1.232.11.2.12.1, cpqHoClientLastModified
.1.3.6.1.4.1.232.11.2.12.2, cpqHoClientDelete
.1.3.6.1.4.1.232.11.2.12.3, cpqHoClientTable
.1.3.6.1.4.1.232.11.2.12.3.1, cpqHoClientEntry
.1.3.6.1.4.1.232.11.2.12.3.1.1, cpqHoClientIndex
.1.3.6.1.4.1.232.11.2.12.3.1.2, cpqHoClientName
.1.3.6.1.4.1.232.11.2.12.3.1.3, cpqHoClientIpxAddress
.1.3.6.1.4.1.232.11.2.12.3.1.4, cpqHoClientIpAddress
.1.3.6.1.4.1.232.11.2.12.3.1.5, cpqHoClientCommunity
.1.3.6.1.4.1.232.11.2.12.3.1.6, cpqHoClientID
.1.3.6.1.4.1.232.11.2.13, cpqHoMemory
.1.3.6.1.4.1.232.11.2.13.1, cpqHoPhysicalMemorySize
.1.3.6.1.4.1.232.11.2.13.2, cpqHoPhysicalMemoryFree
.1.3.6.1.4.1.232.11.2.13.3, cpqHoPagingMemorySize
.1.3.6.1.4.1.232.11.2.13.4, cpqHoPagingMemoryFree
.1.3.6.1.4.1.232.11.2.13.5, cpqHoBootPagingFileSize
.1.3.6.1.4.1.232.11.2.13.6, cpqHoBootPagingFileMinimumSize
.1.3.6.1.4.1.232.11.2.13.7, cpqHoBootPagingFileVolumeFreeSpace
.1.3.6.1.4.1.232.11.2.14, cpqHoFwVer
.1.3.6.1.4.1.232.11.2.14.1, cpqHoFwVerTable
.1.3.6.1.4.1.232.11.2.14.1.1, cpqHoFwVerEntry
.1.3.6.1.4.1.232.11.2.14.1.1.1, cpqHoFwVerIndex
.1.3.6.1.4.1.232.11.2.14.1.1.2, cpqHoFwVerCategory
.1.3.6.1.4.1.232.11.2.14.1.1.3, cpqHoFwVerDeviceType
.1.3.6.1.4.1.232.11.2.14.1.1.4, cpqHoFwVerDisplayName
.1.3.6.1.4.1.232.11.2.14.1.1.5, cpqHoFwVerVersion
.1.3.6.1.4.1.232.11.2.14.1.1.6, cpqHoFwVerLocation
.1.3.6.1.4.1.232.11.2.14.1.1.7, cpqHoFwVerXmlString
.1.3.6.1.4.1.232.11.2.14.1.1.8, cpqHoFwVerKeyString
.1.3.6.1.4.1.232.11.2.14.1.1.9, cpqHoFwVerUpdateMethod
.1.3.6.1.4.1.232.11.2.15, cpqHoHWInfo
.1.3.6.1.4.1.232.11.2.15.1, cpqHoHWInfoPlatform
.1.3.6.1.4.1.232.11.2.16, cpqPwrThreshold
.1.3.6.1.4.1.232.11.2.16.1, cpqPwrWarnType
.1.3.6.1.4.1.232.11.2.16.2, cpqPwrWarnThreshold
.1.3.6.1.4.1.232.11.2.16.3, cpqPwrWarnDuration
.1.3.6.1.4.1.232.11.2.16.4, cpqSerialNum
.1.3.6.1.4.1.232.11.2.16.5, cpqServerUUID
.1.3.6.1.4.1.232.11.2.2, cpqHoInfo
.1.3.6.1.4.1.232.11.2.2.1, cpqHoName
.1.3.6.1.4.1.232.11.2.2.10, cpqHoCrashDumpMonitoring
.1.3.6.1.4.1.232.11.2.2.11, cpqHoMaxLogicalCPUSupported
.1.3.6.1.4.1.232.11.2.2.2, cpqHoVersion
.1.3.6.1.4.1.232.11.2.2.3, cpqHoDesc
.1.3.6.1.4.1.232.11.2.2.4, cpqHoOsType
.1.3.6.1.4.1.232.11.2.2.5, cpqHoTelnet
.1.3.6.1.4.1.232.11.2.2.6, cpqHoSystemRole
.1.3.6.1.4.1.232.11.2.2.7, cpqHoSystemRoleDetail
.1.3.6.1.4.1.232.11.2.2.8, cpqHoCrashDumpState
.1.3.6.1.4.1.232.11.2.2.9, cpqHoCrashDumpCondition
.1.3.6.1.4.1.232.11.2.3, cpqHoUtil
.1.3.6.1.4.1.232.11.2.3.1, cpqHoCpuUtilTable
.1.3.6.1.4.1.232.11.2.3.1.1, cpqHoCpuUtilEntry
.1.3.6.1.4.1.232.11.2.3.1.1.1, cpqHoCpuUtilUnitIndex
.1.3.6.1.4.1.232.11.2.3.1.1.2, cpqHoCpuUtilMin
.1.3.6.1.4.1.232.11.2.3.1.1.3, cpqHoCpuUtilFiveMin
.1.3.6.1.4.1.232.11.2.3.1.1.4, cpqHoCpuUtilThirtyMin
.1.3.6.1.4.1.232.11.2.3.1.1.5, cpqHoCpuUtilHour
.1.3.6.1.4.1.232.11.2.3.1.1.6, cpqHoCpuUtilHwLocation
.1.3.6.1.4.1.232.11.2.4, cpqHoFileSys
.1.3.6.1.4.1.232.11.2.4.1, cpqHoFileSysTable
.1.3.6.1.4.1.232.11.2.4.1.1, cpqHoFileSysEntry
.1.3.6.1.4.1.232.11.2.4.1.1.1, cpqHoFileSysIndex
.1.3.6.1.4.1.232.11.2.4.1.1.2, cpqHoFileSysDesc
.1.3.6.1.4.1.232.11.2.4.1.1.3, cpqHoFileSysSpaceTotal
.1.3.6.1.4.1.232.11.2.4.1.1.4, cpqHoFileSysSpaceUsed
.1.3.6.1.4.1.232.11.2.4.1.1.5, cpqHoFileSysPercentSpaceUsed
.1.3.6.1.4.1.232.11.2.4.1.1.6, cpqHoFileSysAllocUnitsTotal
.1.3.6.1.4.1.232.11.2.4.1.1.7, cpqHoFileSysAllocUnitsUsed
.1.3.6.1.4.1.232.11.2.4.1.1.8, cpqHoFileSysStatus
.1.3.6.1.4.1.232.11.2.4.2, cpqHoFileSysCondition
.1.3.6.1.4.1.232.11.2.5, cpqHoIfPhysMap
.1.3.6.1.4.1.232.11.2.5.1, cpqHoIfPhysMapTable
.1.3.6.1.4.1.232.11.2.5.1.1, cpqHoIfPhysMapEntry
.1.3.6.1.4.1.232.11.2.5.1.1.1, cpqHoIfPhysMapIndex
.1.3.6.1.4.1.232.11.2.5.1.1.2, cpqHoIfPhysMapSlot
.1.3.6.1.4.1.232.11.2.5.1.1.3, cpqHoIfPhysMapIoBaseAddr
.1.3.6.1.4.1.232.11.2.5.1.1.4, cpqHoIfPhysMapIrq
.1.3.6.1.4.1.232.11.2.5.1.1.5, cpqHoIfPhysMapDma
.1.3.6.1.4.1.232.11.2.5.1.1.6, cpqHoIfPhysMapMemBaseAddr
.1.3.6.1.4.1.232.11.2.5.1.1.7, cpqHoIfPhysMapPort
.1.3.6.1.4.1.232.11.2.5.1.1.8, cpqHoIfPhysMapDuplexState
.1.3.6.1.4.1.232.11.2.5.1.1.9, cpqHoIfPhysMapCondition
.1.3.6.1.4.1.232.11.2.5.2, cpqHoIfPhysMapOverallCondition
.1.3.6.1.4.1.232.11.2.6, cpqHoSWRunning
.1.3.6.1.4.1.232.11.2.6.1, cpqHoSWRunningTable
.1.3.6.1.4.1.232.11.2.6.1.1, cpqHoSWRunningEntry
.1.3.6.1.4.1.232.11.2.6.1.1.1, cpqHoSWRunningIndex
.1.3.6.1.4.1.232.11.2.6.1.1.10, cpqHoSWRunningCountMax
.1.3.6.1.4.1.232.11.2.6.1.1.11, cpqHoSWRunningEventTime
.1.3.6.1.4.1.232.11.2.6.1.1.12, cpqHoSWRunningStatus
.1.3.6.1.4.1.232.11.2.6.1.1.13, cpqHoSWRunningConfigStatus
.1.3.6.1.4.1.232.11.2.6.1.1.14, cpqHoSWRunningIdentifier
.1.3.6.1.4.1.232.11.2.6.1.1.15, cpqHoSWRunningRedundancyMode
.1.3.6.1.4.1.232.11.2.6.1.1.2, cpqHoSWRunningName
.1.3.6.1.4.1.232.11.2.6.1.1.3, cpqHoSWRunningDesc
.1.3.6.1.4.1.232.11.2.6.1.1.4, cpqHoSWRunningVersion
.1.3.6.1.4.1.232.11.2.6.1.1.5, cpqHoSWRunningDate
.1.3.6.1.4.1.232.11.2.6.1.1.6, cpqHoSWRunningMonitor
.1.3.6.1.4.1.232.11.2.6.1.1.7, cpqHoSWRunningState
.1.3.6.1.4.1.232.11.2.6.1.1.8, cpqHoSWRunningCount
.1.3.6.1.4.1.232.11.2.6.1.1.9, cpqHoSWRunningCountMin
.1.3.6.1.4.1.232.11.2.6.2, cpqHoSwRunningTrapDesc
.1.3.6.1.4.1.232.11.2.7, cpqHoSwVer
.1.3.6.1.4.1.232.11.2.7.1, cpqHoSwVerNextIndex
.1.3.6.1.4.1.232.11.2.7.2, cpqHoSwVerTable
.1.3.6.1.4.1.232.11.2.7.2.1, cpqHoSwVerEntry
.1.3.6.1.4.1.232.11.2.7.2.1.1, cpqHoSwVerIndex
.1.3.6.1.4.1.232.11.2.7.2.1.2, cpqHoSwVerStatus
.1.3.6.1.4.1.232.11.2.7.2.1.3, cpqHoSwVerType
.1.3.6.1.4.1.232.11.2.7.2.1.4, cpqHoSwVerName
.1.3.6.1.4.1.232.11.2.7.2.1.5, cpqHoSwVerDescription
.1.3.6.1.4.1.232.11.2.7.2.1.6, cpqHoSwVerDate
.1.3.6.1.4.1.232.11.2.7.2.1.7, cpqHoSwVerLocation
.1.3.6.1.4.1.232.11.2.7.2.1.8, cpqHoSwVerVersion
.1.3.6.1.4.1.232.11.2.7.2.1.9, cpqHoSwVerVersionBinary
.1.3.6.1.4.1.232.11.2.7.3, cpqHoSwVerAgentsVer
.1.3.6.1.4.1.232.11.2.8, cpqHoGeneric
.1.3.6.1.4.1.232.11.2.8.1, cpqHoGenericData
.1.3.6.1.4.1.232.11.2.8.2, cpqHoCriticalSoftwareUpdateData
.1.3.6.1.4.1.232.11.2.9, cpqHoSwPerf
.1.3.6.1.4.1.232.11.2.9.1, cpqHoSwPerfAppErrorDesc
.1.3.6.1.4.1.232.22, cpqRackInfo
.1.3.6.1.4.1.232.22.1, cpqRackMibRev
.1.3.6.1.4.1.232.22.1.1, cpqRackMibRevMajor
.1.3.6.1.4.1.232.22.1.2, cpqRackMibRevMinor
.1.3.6.1.4.1.232.22.1.3, cpqRackMibCondition
.1.3.6.1.4.1.232.22.2, cpqRackComponent
.1.3.6.1.4.1.232.22.2.1, cpqRackInterface
.1.3.6.1.4.1.232.22.2.1.4, cpqRackOsCommon
.1.3.6.1.4.1.232.22.2.1.4.1, cpqRackOsCommonPollFreq
.1.3.6.1.4.1.232.22.2.2, cpqRackAsset
.1.3.6.1.4.1.232.22.2.2.1, cpqRackAssetTable
.1.3.6.1.4.1.232.22.2.2.1.1, cpqRackAssetEntry
.1.3.6.1.4.1.232.22.2.2.1.1.1, cpqRackAssetIndex
.1.3.6.1.4.1.232.22.2.2.1.1.2, cpqRackName
.1.3.6.1.4.1.232.22.2.2.1.1.3, cpqRackUid
.1.3.6.1.4.1.232.22.2.2.1.1.4, cpqRackSerialNum
.1.3.6.1.4.1.232.22.2.2.1.1.5, cpqRackTrapSequenceNum
.1.3.6.1.4.1.232.22.2.2.1.1.6, cpqRackHeight
.1.3.6.1.4.1.232.22.2.2.1.1.7, cpqRackWidth
.1.3.6.1.4.1.232.22.2.2.1.1.8, cpqRackDepth
.1.3.6.1.4.1.232.22.2.3, cpqRackEnclosure
.1.3.6.1.4.1.232.22.2.3.1, cpqRackCommonEnclosure
.1.3.6.1.4.1.232.22.2.3.1.1, cpqRackCommonEnclosureTable
.1.3.6.1.4.1.232.22.2.3.1.1.1, cpqRackCommonEnclosureEntry
.1.3.6.1.4.1.232.22.2.3.1.1.1.1, cpqRackCommonEnclosureRack
.1.3.6.1.4.1.232.22.2.3.1.1.1.10, cpqRackCommonEnclosureNeighborNamePrev
.1.3.6.1.4.1.232.22.2.3.1.1.1.11, cpqRackCommonEnclosureNeighborNameNext
.1.3.6.1.4.1.232.22.2.3.1.1.1.12, cpqRackCommonEnclosureHeight
.1.3.6.1.4.1.232.22.2.3.1.1.1.13, cpqRackCommonEnclosureWidth
.1.3.6.1.4.1.232.22.2.3.1.1.1.14, cpqRackCommonEnclosureDepth
.1.3.6.1.4.1.232.22.2.3.1.1.1.15, cpqRackCommonEnclosureTrapSequenceNum
.1.3.6.1.4.1.232.22.2.3.1.1.1.16, cpqRackCommonEnclosureCondition
.1.3.6.1.4.1.232.22.2.3.1.1.1.17, cpqRackCommonEnclosureHasServerBlades
.1.3.6.1.4.1.232.22.2.3.1.1.1.18, cpqRackCommonEnclosureHasPowerSupplies
.1.3.6.1.4.1.232.22.2.3.1.1.1.19, cpqRackCommonEnclosureHasNetConnectors
.1.3.6.1.4.1.232.22.2.3.1.1.1.2, cpqRackCommonEnclosureIndex
.1.3.6.1.4.1.232.22.2.3.1.1.1.20, cpqRackCommonEnclosureHasTempSensors
.1.3.6.1.4.1.232.22.2.3.1.1.1.21, cpqRackCommonEnclosureHasFans
.1.3.6.1.4.1.232.22.2.3.1.1.1.22, cpqRackCommonEnclosureHasFuses
.1.3.6.1.4.1.232.22.2.3.1.1.1.23, cpqRackCommonEnclosureMgmtUID
.1.3.6.1.4.1.232.22.2.3.1.1.1.24, cpqRackCommonEnclosureSerialNumPrev
.1.3.6.1.4.1.232.22.2.3.1.1.1.25, cpqRackCommonEnclosureSerialNumNext
.1.3.6.1.4.1.232.22.2.3.1.1.1.26, cpqRackCommonEnclosureAddress
.1.3.6.1.4.1.232.22.2.3.1.1.1.27, cpqRackCommonEnclosureProductId
.1.3.6.1.4.1.232.22.2.3.1.1.1.28, cpqRackCommonEnclosureProductIdPrev
.1.3.6.1.4.1.232.22.2.3.1.1.1.29, cpqRackCommonEnclosureProductIdNext
.1.3.6.1.4.1.232.22.2.3.1.1.1.3, cpqRackCommonEnclosureModel
.1.3.6.1.4.1.232.22.2.3.1.1.1.30, cpqRackCommonEnclosureUUID
.1.3.6.1.4.1.232.22.2.3.1.1.1.31, cpqRackCommonEnclosureUUIDPrev
.1.3.6.1.4.1.232.22.2.3.1.1.1.32, cpqRackCommonEnclosureUUIDNext
.1.3.6.1.4.1.232.22.2.3.1.1.1.33, cpqRackCommonEnclosureHasManagers
.1.3.6.1.4.1.232.22.2.3.1.1.1.4, cpqRackCommonEnclosureAssetTag
.1.3.6.1.4.1.232.22.2.3.1.1.1.5, cpqRackCommonEnclosurePartNumber
.1.3.6.1.4.1.232.22.2.3.1.1.1.6, cpqRackCommonEnclosureSparePartNumber
.1.3.6.1.4.1.232.22.2.3.1.1.1.7, cpqRackCommonEnclosureSerialNum
.1.3.6.1.4.1.232.22.2.3.1.1.1.8, cpqRackCommonEnclosureFWRev
.1.3.6.1.4.1.232.22.2.3.1.1.1.9, cpqRackCommonEnclosureName
.1.3.6.1.4.1.232.22.2.3.1.2, cpqRackCommonEnclosureTempTable
.1.3.6.1.4.1.232.22.2.3.1.2.1, cpqRackCommonEnclosureTempEntry
.1.3.6.1.4.1.232.22.2.3.1.2.1.1, cpqRackCommonEnclosureTempRack
.1.3.6.1.4.1.232.22.2.3.1.2.1.10, cpqRackCommonEnclosureTempSensorEnclosureSerialNum
.1.3.6.1.4.1.232.22.2.3.1.2.1.2, cpqRackCommonEnclosureTempChassis
.1.3.6.1.4.1.232.22.2.3.1.2.1.3, cpqRackCommonEnclosureTempSensorIndex
.1.3.6.1.4.1.232.22.2.3.1.2.1.4, cpqRackCommonEnclosureTempSensorEnclosureName
.1.3.6.1.4.1.232.22.2.3.1.2.1.5, cpqRackCommonEnclosureTempLocation
.1.3.6.1.4.1.232.22.2.3.1.2.1.6, cpqRackCommonEnclosureTempCurrent
.1.3.6.1.4.1.232.22.2.3.1.2.1.7, cpqRackCommonEnclosureTempThreshold
.1.3.6.1.4.1.232.22.2.3.1.2.1.8, cpqRackCommonEnclosureTempCondition
.1.3.6.1.4.1.232.22.2.3.1.2.1.9, cpqRackCommonEnclosureTempType
.1.3.6.1.4.1.232.22.2.3.1.3, cpqRackCommonEnclosureFanTable
.1.3.6.1.4.1.232.22.2.3.1.3.1, cpqRackCommonEnclosureFanEntry
.1.3.6.1.4.1.232.22.2.3.1.3.1.1, cpqRackCommonEnclosureFanRack
.1.3.6.1.4.1.232.22.2.3.1.3.1.10, cpqRackCommonEnclosureFanRedundantGroupId
.1.3.6.1.4.1.232.22.2.3.1.3.1.11, cpqRackCommonEnclosureFanCondition
.1.3.6.1.4.1.232.22.2.3.1.3.1.12, cpqRackCommonEnclosureFanEnclosureSerialNum
.1.3.6.1.4.1.232.22.2.3.1.3.1.2, cpqRackCommonEnclosureFanChassis
.1.3.6.1.4.1.232.22.2.3.1.3.1.3, cpqRackCommonEnclosureFanIndex
.1.3.6.1.4.1.232.22.2.3.1.3.1.4, cpqRackCommonEnclosureFanEnclosureName
.1.3.6.1.4.1.232.22.2.3.1.3.1.5, cpqRackCommonEnclosureFanLocation
